sale_id,salesperson,region,category,quantity,unit_price,sale_date,discount
1,Alice,  North ,Clothing,48,371.63,2024-10-14,
2,Diana,North,,42,212.66,2024-05-26,0.3
3,alice,,Food,49,50.91,2024-06-20,0.02
4,Bob,SOUTH,Electronics,41,431.54,2024-12-03,
5,Eve,South,FOOD,7,229.44,2024-03-12,0.27
6,Bob,East,,11,138.62,2024-12-18,0.13
7,Alice,West,FOOD,,137.53,2024-10-23,0.26
8,BOB,East,Food,48,135.06,2024-10-13,0.4
9,BOB,South,FOOD,,315.59,2024-07-20,
10,BOB,  North ,,1,61.7,2024-05-25,0.04
11,BOB,North,electronics,17,382.17,2024-02-28,0.34
12,Diana,East,Food,35,461.6,2024-10-11,0.04
13,Eve,West,Electronics,37,47.4,2024-02-25,0.05
14,Charlie,  North ,,28,464.81,2024-12-07,0.16
15,,east,,16,172.35,2024-04-19,0.03
16,Diana,South,Electronics,5,142.85,2024-09-05,0.35
17,Diana,east,FOOD,7,218.37,2024-08-28,0.27
18,Bob,North,Books,7,99.15,2024-07-06,0.1
19,BOB,South,Electronics,35,484.65,2024-04-06,0.19
20,Alice,East,Books,,463.63,2024-05-14,0.29
21,BOB,East,Clothing,4,273.39,2024-01-02,0.2
22,Charlie,North,,12,38.64,2024-07-04,0.23
23,Alice,South,Books,37,467.68,2024-12-11,0.16
24,Eve,east,Food,5,,2024-10-04,
25,Eve,East,Food,16,83.08,2024-12-10,0.39
26,Alice,  North ,electronics,9,445.41,2024-03-09,0.08
27,Eve,east,Food,4,214.67,2024-01-11,0.25
28,BOB,SOUTH,,,442.14,2024-09-02,0.23
29,Charlie,North,Food,3,108.99,2024-02-12,0.35
30,Charlie,West,FOOD,12,17.27,2024-06-26,0.32
31,Diana,  North ,Clothing,7,24.17,2024-04-27,0.14
32,Diana,West,Electronics,26,432.85,2024-05-12,0.16
33,,North,Electronics,17,481.45,2024-02-20,0.29
34,Bob,SOUTH,,3,5.84,2024-09-22,0.3
35,,SOUTH,Electronics,22,333.38,2024-05-17,0.16
36,Eve,East,Clothing,25,451.89,2024-05-13,0.0
37,alice,,Books,44,239.23,2024-12-06,0.11
38,,South,FOOD,16,116.2,2024-01-02,0.19
39,Bob,east,Books,37,349.7,2024-04-05,0.0
40,Bob,SOUTH,Clothing,45,29.86,2024-02-15,0.19
41,,east,,33,453.89,2024-03-24,0.18
42,Eve,east,electronics,29,146.44,2024-06-18,
43,alice,East,electronics,27,273.59,2024-04-27,0.36
44,Alice,SOUTH,Books,,377.97,2024-07-18,0.22
45,Diana,east,Clothing,32,,2024-11-26,0.07
46,Charlie,North,Books,43,,2024-03-28,0.02
47,Diana,east,Food,25,475.85,2024-02-16,
48,,West,electronics,42,,,0.01
49,Charlie,east,electronics,14,131.84,2024-10-20,0.29
50,Charlie,  North ,Electronics,20,454.47,2024-12-07,
51,Diana,South,electronics,44,64.92,2024-01-12,0.26
52,,North,FOOD,32,480.59,2024-08-23,0.07
53,Eve,east,Books,47,164.54,2024-02-09,0.1
54,alice,,Electronics,21,110.0,2024-06-09,0.28
55,Alice,West,Electronics,27,380.29,2024-11-23,0.32
56,Diana,SOUTH,electronics,43,239.26,2024-07-24,0.14
57,Eve,  North ,Clothing,13,372.73,2024-12-06,0.3
58,Eve,South,FOOD,15,154.62,2024-03-09,
59,Eve,East,electronics,32,11.07,2024-08-15,0.39
60,BOB,South,FOOD,32,316.58,2024-03-26,0.12
61,Bob,SOUTH,,40,263.67,2024-08-10,0.4
62,Alice,South,FOOD,14,45.19,2024-09-03,0.16
63,BOB,  North ,Electronics,46,430.51,2024-04-09,0.25
64,Diana,SOUTH,Electronics,42,136.49,2024-01-06,0.24
65,Eve,east,Electronics,20,471.62,2024-08-15,
66,alice,,,6,338.78,2024-10-01,0.27
67,Alice,East,Books,29,94.84,2024-11-27,0.04
68,,,electronics,11,348.37,2024-07-27,0.01
69,Eve,,Electronics,26,413.34,not-a-date,0.02
70,BOB,east,FOOD,18,464.2,2024-12-16,0.39
71,Diana,East,Food,36,116.23,2024-02-15,0.26
72,Eve,  North ,Books,31,277.88,2024-10-17,0.05
73,alice,,FOOD,1,152.79,2024-11-16,0.18
74,,SOUTH,Books,13,123.21,2024-07-02,0.19
75,alice,SOUTH,electronics,42,250.19,not-a-date,0.13
76,BOB,South,,1,207.94,2024-03-03,0.39
77,alice,South,FOOD,44,193.1,2024-12-25,0.22
78,Diana,  North ,Clothing,28,381.38,2024-02-15,0.12
79,,North,Food,28,267.93,2024-03-06,0.24
80,Diana,east,,30,232.49,2024-08-10,0.06
81,,  North ,electronics,45,423.43,2024-07-28,0.09
82,Eve,  North ,Electronics,43,9.01,2024-12-02,0.3
83,Eve,West,,15,312.34,2024-12-25,0.34
84,Alice,  North ,FOOD,38,70.05,2024-06-24,0.08
85,,  North ,FOOD,31,151.1,2024-02-15,0.06
86,alice,,Electronics,1,66.18,2024-12-22,0.15
87,,South,electronics,2,471.87,2024-10-08,0.25
88,Eve,SOUTH,Electronics,3,248.85,2024-09-05,0.15
89,alice,East,Books,32,469.83,2024-12-12,0.18
90,,South,electronics,42,202.08,2024-02-28,0.04
91,Alice,North,FOOD,9,106.58,2024-09-07,0.33
92,Charlie,North,Food,10,272.41,2024-02-22,0.05
93,Diana,,Electronics,4,213.38,2024-02-16,0.14
94,BOB,West,,,434.16,2024-08-21,0.02
95,alice,SOUTH,electronics,46,41.38,2024-10-05,
96,,SOUTH,,30,217.95,2024-02-28,0.35
97,Diana,SOUTH,Books,27,229.48,2024-02-11,0.27
98,Charlie,east,Electronics,6,52.8,2024-03-18,
99,,South,Books,43,214.35,2024-01-10,0.14
100,Diana,East,electronics,7,280.35,2024-05-19,0.17
101,Alice,  North ,Electronics,45,461.16,2024-03-28,0.26
102,Alice,South,electronics,25,173.74,2024-12-11,0.23
103,Alice,East,Clothing,4,139.69,2024-08-20,0.11
104,Bob,,Books,44,245.88,2024-01-08,0.24
,Eve,West,FOOD,17,64.39,2024-07-06,0.21
106,,South,Books,3,232.58,2024-06-19,0.16
107,Eve,South,Books,,401.65,2024-12-12,
108,Diana,SOUTH,,6,158.59,2024-06-25,0.2
109,Diana,,Food,42,121.95,2024-04-06,0.3
110,Charlie,east,Books,49,342.16,2024-11-21,0.13
111,,East,Books,29,399.18,2024-06-17,
112,Alice,North,Food,5,488.8,2024-10-17,0.23
